faculty_school_id,school_id,first_name,middle_name,last_name,primary_email_address,term_code,formatted_course,status_code,section_code,section_number
"jmartinez110","mwilson12","Michael","Mumford","Wilson","3@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","pdavis13","Patricia","Mumford","Davis","4@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","ptaylor14","Patricia","Mumford","Taylor","5@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","jjohnson15","John","Mumford","Johnson","6@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","manderson16","Michael","Mumford","Anderson","7@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","mjackson17","Michael","Mumford","Jackson","8@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"jmartinez110","rrobinson18","Robert","Mumford","Robinson","9@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
"rjones210","sthomas20","Susan","Mumford","Thomas","2@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","cwilson21","Charles","Mumford","Wilson","3@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","tbrown22","Thomas","Mumford","Brown","4@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"rjones210","rwhite23","Richard","Mumford","White","5@unicon.net","FA12","ECN443","E","e5caf5ed-95b1-470c-8a0e-f13a52ae78e2","709"
"jmartinez110","dsimth19","David","Mumford","Simth","10@unicon.net","FA12","CHM451","E","4f82f0d3-b5f5-4897-aa63-571abbd7e3bd","128"
